group_id,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
3100,91.25,314.0,499.25,,0.0,,14.0,17.0,1905.5,66.0,11.5,84.5,17.0,9.0,202005090400,202005090500,153.0,93.5,2876.0,3029.0,5,3
3101,105.0,338.5,483.5,,0.0,,15.0,17.0,1905.75,66.0,13.25,250.0,16.25,5.0,202005090500,202005090600,316.5,255.0,2898.75,3215.25,10,8
3102,119.0,305.0,485.25,,0.0,,15.0,17.0,1905.75,67.0,14.0,465.5,16.5,0.5,202005090600,202005090700,528.5,466.0,2882.0,3410.5,15,14
3103,116.0,306.25,462.75,,0.0,,15.0,17.0,1905.25,72.0,14.0,655.25,17.25,0.75,202005090700,202005090800,719.25,656.0,2862.25,3581.5,20,18
3104,116.25,255.0,457.0,,0.0,,14.25,17.0,1904.0,71.0,14.75,794.0,17.5,6.25,202005090800,202005090900,863.75,800.25,2803.25,3667.0,24,22
3105,116.25,215.25,450.75,,0.0,,14.0,17.0,1904.5,72.0,13.75,870.75,16.25,12.75,202005090900,202005091000,944.5,883.5,2758.75,3703.25,26,24
3106,116.75,288.5,455.0,,0.0,,14.0,17.0,1904.75,72.0,12.5,901.25,16.5,13.25,202005091000,202005091100,974.5,914.5,2837.0,3811.5,26,24
3107,115.25,319.0,453.75,,0.0,,14.0,17.0,1905.0,72.0,12.25,885.5,17.25,12.75,202005091100,202005091200,958.75,898.25,2865.0,3823.75,25,23
3108,115.0,292.25,478.25,,0.0,,14.0,16.0,1904.5,72.0,13.25,820.0,16.5,14.5,202005091200,202005091300,894.25,834.5,2862.0,3756.25,24,22
3109,115.5,292.0,435.75,,0.0,,14.0,16.0,1904.0,72.0,14.0,698.0,17.0,20.5,202005091300,202005091400,779.5,718.5,2819.25,3598.75,22,20
