,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
102,333.0,6469.0,48.0,202.0,,4245.0,258.0,49036.0,0.0,212.0,1832.0,202001050600,202001050700,6547.0,1832.0,56088.0,62635.0,10,3
103,333.0,6483.0,48.0,202.0,,4434.0,496.0,49161.0,181.0,213.0,1865.0,202001050700,202001050800,7189.0,2046.0,56227.0,63416.0,11,3
104,332.0,6523.0,47.0,201.0,208.0,4653.0,1234.0,48940.0,820.0,213.0,1915.0,202001050800,202001050900,9043.0,2735.0,56043.0,65086.0,14,4
105,332.0,6719.0,47.0,201.0,292.0,4754.0,1543.0,49539.0,2067.0,213.0,1856.0,202001050900,202001051000,10725.0,3923.0,56838.0,67563.0,16,6
106,332.0,7166.0,44.0,202.0,329.0,4821.0,1829.0,49912.0,3045.0,213.0,1556.0,202001051000,202001051100,11793.0,4601.0,57656.0,69449.0,17,7
107,332.0,7509.0,43.0,202.0,519.0,4742.0,2268.0,50022.0,3506.0,213.0,1439.0,202001051100,202001051200,12687.0,4945.0,58108.0,70795.0,18,7
108,330.0,7429.0,43.0,202.0,806.0,4615.0,2558.0,50142.0,3504.0,212.0,1369.0,202001051200,202001051300,13064.0,4873.0,58146.0,71210.0,18,7
109,329.0,7202.0,42.0,202.0,805.0,4594.0,1642.0,50262.0,3056.0,212.0,1280.0,202001051300,202001051400,11589.0,4336.0,58037.0,69626.0,17,6
110,332.0,7243.0,40.0,202.0,469.0,4518.0,1273.0,49998.0,2032.0,212.0,1261.0,202001051400,202001051500,9765.0,3293.0,57815.0,67580.0,14,5
111,331.0,7381.0,31.0,202.0,398.0,4730.0,2025.0,50219.0,746.0,213.0,1175.0,202001051500,202001051600,9287.0,1921.0,58164.0,67451.0,14,3
112,331.0,7938.0,28.0,202.0,926.0,5139.0,3223.0,51198.0,149.0,213.0,1272.0,202001051600,202001051700,10922.0,1421.0,59697.0,70619.0,15,2
113,328.0,8122.0,31.0,202.0,1831.0,5815.0,4292.0,51553.0,0.0,211.0,1577.0,202001051700,202001051800,13726.0,1577.0,60236.0,73962.0,19,2
114,327.0,8168.0,28.0,202.0,1895.0,6087.0,4574.0,51240.0,0.0,213.0,1728.0,202001051800,202001051900,14497.0,1728.0,59965.0,74462.0,19,2
115,328.0,8107.0,31.0,201.0,946.0,5920.0,3482.0,50986.0,0.0,213.0,1792.0,202001051900,202001052000,12353.0,1792.0,59653.0,72006.0,17,2
116,328.0,7932.0,29.0,201.0,623.0,5567.0,2399.0,50845.0,0.0,214.0,1872.0,202001052000,202001052100,10675.0,1872.0,59335.0,70010.0,15,3
117,330.0,7818.0,28.0,201.0,482.0,5191.0,2037.0,50626.0,0.0,214.0,1967.0,202001052100,202001052200,9891.0,1967.0,59003.0,68894.0,14,3
118,330.0,7724.0,26.0,201.0,449.0,4713.0,1430.0,50671.0,0.0,213.0,2064.0,202001052200,202001052300,8869.0,2064.0,58952.0,67821.0,13,3
119,330.0,5913.0,24.0,201.0,65.0,4259.0,706.0,50385.0,0.0,214.0,2093.0,202001052300,202001060000,7337.0,2093.0,56853.0,64190.0,11,3
120,330.0,4974.0,26.0,201.0,,4065.0,638.0,50108.0,0.0,214.0,2238.0,202001060000,202001060100,7155.0,2238.0,55639.0,62794.0,11,4
121,331.0,4774.0,25.0,201.0,,3967.0,391.0,50204.0,0.0,211.0,2291.0,202001060100,202001060200,6860.0,2291.0,55535.0,62395.0,11,4
122,330.0,4275.0,16.0,198.0,,3907.0,323.0,50793.0,0.0,206.0,2285.0,202001060200,202001060300,6721.0,2285.0,55612.0,62333.0,11,4
123,332.0,4276.0,,198.0,,3904.0,385.0,51096.0,0.0,205.0,2341.0,202001060300,202001060400,6835.0,2341.0,55902.0,62737.0,11,4
124,332.0,4872.0,7.0,199.0,,3924.0,684.0,51092.0,0.0,203.0,2605.0,202001060400,202001060500,7416.0,2605.0,56502.0,63918.0,12,4
125,333.0,6803.0,0.0,202.0,,4199.0,1638.0,51645.0,0.0,203.0,2947.0,202001060500,202001060600,8987.0,2947.0,58983.0,67970.0,13,4
126,333.0,7759.0,,201.0,,4839.0,2949.0,51653.0,0.0,205.0,3437.0,202001060600,202001060700,11430.0,3437.0,59946.0,71376.0,16,5
127,334.0,7999.0,,488.0,332.0,5427.0,3038.0,51780.0,177.0,208.0,4020.0,202001060700,202001060800,13202.0,4197.0,60601.0,73803.0,18,6
128,332.0,8139.0,40.0,811.0,776.0,5657.0,2706.0,51774.0,749.0,209.0,4569.0,202001060800,202001060900,14666.0,5318.0,61096.0,75762.0,19,7
129,334.0,8236.0,250.0,814.0,478.0,5627.0,3115.0,51914.0,1899.0,209.0,4373.0,202001060900,202001061000,15701.0,6272.0,61548.0,77249.0,20,8
130,333.0,8247.0,328.0,288.0,279.0,5483.0,3017.0,52046.0,2877.0,210.0,3886.0,202001061000,202001061100,15752.0,6763.0,61242.0,76994.0,20,9
131,334.0,8087.0,306.0,201.0,147.0,5182.0,3030.0,52138.0,3326.0,212.0,3536.0,202001061100,202001061200,15433.0,6862.0,61066.0,76499.0,20,9
132,333.0,8130.0,327.0,202.0,73.0,4956.0,2628.0,52408.0,3272.0,209.0,3379.0,202001061200,202001061300,14517.0,6651.0,61400.0,75917.0,19,9
