,Biomass,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Offshore,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
52,333.0,1193.0,0.0,31.0,1431.0,529.0,11.0,0.0,,416.0,202001030400,202001030500,2407.0,416.0,1537.0,3944.0,61,11
53,336.0,1247.0,0.0,31.0,1517.0,578.0,11.0,0.0,,429.0,202001030500,202001030600,2555.0,429.0,1594.0,4149.0,62,10
54,333.0,1911.0,0.0,154.0,2006.0,662.0,11.0,0.0,,478.0,202001030600,202001030700,3300.0,478.0,2255.0,5555.0,59,9
55,337.0,2691.0,0.0,359.0,2247.0,1016.0,12.0,0.0,,490.0,202001030700,202001030800,4112.0,490.0,3040.0,7152.0,57,7
56,335.0,3021.0,0.0,887.0,2277.0,1164.0,11.0,21.0,,510.0,202001030800,202001030900,4859.0,531.0,3367.0,8226.0,59,6
57,343.0,3032.0,0.0,1282.0,2305.0,1142.0,11.0,97.0,,495.0,202001030900,202001031000,5321.0,592.0,3386.0,8707.0,61,7
58,338.0,3003.0,0.0,1277.0,2274.0,1094.0,11.0,200.0,,451.0,202001031000,202001031100,5296.0,651.0,3352.0,8648.0,61,8
59,339.0,2993.0,0.0,1216.0,2294.0,984.0,11.0,281.0,,460.0,202001031100,202001031200,5235.0,741.0,3343.0,8578.0,61,9
60,343.0,3014.0,0.0,883.0,2284.0,1077.0,12.0,294.0,,400.0,202001031200,202001031300,4938.0,694.0,3369.0,8307.0,59,8
61,333.0,2838.0,0.0,451.0,2274.0,867.0,11.0,268.0,,392.0,202001031300,202001031400,4252.0,660.0,3182.0,7434.0,57,9
62,314.0,2839.0,0.0,192.0,2243.0,724.0,11.0,219.0,,425.0,202001031400,202001031500,3803.0,644.0,3164.0,6967.0,55,9
63,315.0,2912.0,0.0,490.0,2234.0,582.0,12.0,164.0,,428.0,202001031500,202001031600,3898.0,592.0,3239.0,7137.0,55,8
64,309.0,3042.0,0.0,589.0,2179.0,797.0,12.0,58.0,,399.0,202001031600,202001031700,4022.0,457.0,3363.0,7385.0,54,6
65,316.0,3105.0,0.0,1453.0,2187.0,1171.0,12.0,2.0,,376.0,202001031700,202001031800,5189.0,378.0,3433.0,8622.0,60,4
66,321.0,3112.0,0.0,1610.0,2171.0,1193.0,12.0,0.0,,404.0,202001031800,202001031900,5378.0,404.0,3445.0,8823.0,61,5
67,325.0,3057.0,0.0,1468.0,2179.0,1209.0,13.0,0.0,,365.0,202001031900,202001032000,5221.0,365.0,3395.0,8616.0,61,4
68,329.0,3093.0,0.0,1263.0,2151.0,1180.0,17.0,0.0,,358.0,202001032000,202001032100,4952.0,358.0,3439.0,8391.0,59,4
69,333.0,3073.0,0.0,733.0,2139.0,757.0,21.0,0.0,,386.0,202001032100,202001032200,4015.0,386.0,3427.0,7442.0,54,5
70,338.0,2552.0,0.0,366.0,2053.0,640.0,25.0,0.0,,386.0,202001032200,202001032300,3445.0,386.0,2915.0,6360.0,54,6
71,334.0,1091.0,0.0,264.0,2097.0,861.0,23.0,0.0,,418.0,202001032300,202001040000,3640.0,418.0,1448.0,5088.0,72,8
72,334.0,633.0,0.0,89.0,1837.0,673.0,26.0,0.0,,516.0,202001040000,202001040100,3115.0,516.0,993.0,4108.0,76,13
73,339.0,462.0,0.0,78.0,1814.0,622.0,31.0,0.0,,547.0,202001040100,202001040200,3061.0,547.0,832.0,3893.0,79,14
74,339.0,414.0,0.0,0.0,1760.0,601.0,31.0,0.0,,574.0,202001040200,202001040300,2935.0,574.0,784.0,3719.0,79,15
75,339.0,414.0,0.0,0.0,1727.0,602.0,33.0,0.0,,687.0,202001040300,202001040400,3016.0,687.0,786.0,3802.0,79,18
76,339.0,414.0,0.0,0.0,1852.0,418.0,32.0,0.0,,715.0,202001040400,202001040500,2985.0,715.0,785.0,3770.0,79,19
77,340.0,410.0,0.0,0.0,1950.0,415.0,32.0,0.0,,756.0,202001040500,202001040600,3121.0,756.0,782.0,3903.0,80,19
78,342.0,514.0,0.0,0.0,1928.0,489.0,31.0,0.0,,741.0,202001040600,202001040700,3158.0,741.0,887.0,4045.0,78,18
79,342.0,790.0,0.0,11.0,1977.0,715.0,31.0,0.0,,663.0,202001040700,202001040800,3366.0,663.0,1163.0,4529.0,74,15
80,331.0,1003.0,0.0,388.0,2075.0,808.0,26.0,62.0,,694.0,202001040800,202001040900,4027.0,756.0,1360.0,5387.0,75,14
81,331.0,1174.0,0.0,856.0,2097.0,778.0,26.0,242.0,,780.0,202001040900,202001041000,4753.0,1022.0,1531.0,6284.0,76,16
82,334.0,1199.0,0.0,183.0,2081.0,794.0,25.0,386.0,,781.0,202001041000,202001041100,4225.0,1167.0,1558.0,5783.0,73,20
83,337.0,1162.0,0.0,117.0,2062.0,748.0,25.0,457.0,,681.0,202001041100,202001041200,4065.0,1138.0,1524.0,5589.0,73,20
84,335.0,1021.0,0.0,113.0,2044.0,732.0,25.0,477.0,,717.0,202001041200,202001041300,4083.0,1194.0,1381.0,5464.0,75,22
85,336.0,839.0,0.0,29.0,2082.0,738.0,26.0,466.0,,916.0,202001041300,202001041400,4231.0,1382.0,1201.0,5432.0,78,25
86,336.0,824.0,0.0,29.0,2092.0,774.0,25.0,414.0,,1004.0,202001041400,202001041500,4313.0,1418.0,1185.0,5498.0,78,26
87,337.0,858.0,0.0,29.0,2042.0,768.0,25.0,298.0,,1153.0,202001041500,202001041600,4290.0,1451.0,1220.0,5510.0,78,26
88,340.0,1084.0,0.0,280.0,2157.0,802.0,25.0,109.0,,1341.0,202001041600,202001041700,4689.0,1450.0,1449.0,6138.0,76,24
89,348.0,1110.0,0.0,676.0,2240.0,909.0,25.0,3.0,,1713.0,202001041700,202001041800,5541.0,1716.0,1483.0,7024.0,79,24
90,334.0,1168.0,0.0,1031.0,2225.0,972.0,12.0,0.0,,1916.0,202001041800,202001041900,6144.0,1916.0,1514.0,7658.0,80,25
91,336.0,1215.0,0.0,1334.0,2302.0,1012.0,12.0,0.0,,2133.0,202001041900,202001042000,6781.0,2133.0,1563.0,8344.0,81,26
92,333.0,1219.0,0.0,1511.0,2264.0,872.0,11.0,0.0,,2108.0,202001042000,202001042100,6755.0,2108.0,1563.0,8318.0,81,25
93,339.0,1219.0,0.0,857.0,2280.0,736.0,17.0,0.0,,2077.0,202001042100,202001042200,5950.0,2077.0,1575.0,7525.0,79,28
94,348.0,883.0,0.0,167.0,2252.0,779.0,25.0,0.0,,2099.0,202001042200,202001042300,5297.0,2099.0,1256.0,6553.0,81,32
95,346.0,717.0,0.0,117.0,2046.0,438.0,25.0,0.0,,2024.0,202001042300,202001050000,4625.0,2024.0,1088.0,5713.0,81,35
96,348.0,582.0,0.0,29.0,2110.0,437.0,25.0,0.0,,1868.0,202001050000,202001050100,4444.0,1868.0,955.0,5399.0,82,35
97,349.0,421.0,0.0,29.0,1834.0,406.0,26.0,0.0,,1710.0,202001050100,202001050200,3979.0,1710.0,796.0,4775.0,83,36
98,352.0,415.0,0.0,29.0,1774.0,404.0,25.0,0.0,,1662.0,202001050200,202001050300,3869.0,1662.0,792.0,4661.0,83,36
99,349.0,407.0,0.0,29.0,1752.0,433.0,26.0,0.0,,1638.0,202001050300,202001050400,3852.0,1638.0,782.0,4634.0,83,35
100,351.0,408.0,0.0,29.0,1735.0,461.0,23.0,0.0,,1521.0,202001050400,202001050500,3746.0,1521.0,782.0,4528.0,83,34
101,347.0,408.0,0.0,29.0,1702.0,474.0,23.0,0.0,,1288.0,202001050500,202001050600,3493.0,1288.0,778.0,4271.0,82,30
102,354.0,612.0,0.0,40.0,1679.0,473.0,25.0,0.0,,1013.0,202001050600,202001050700,3205.0,1013.0,991.0,4196.0,76,24
103,346.0,1066.0,0.0,170.0,1850.0,556.0,23.0,0.0,,1037.0,202001050700,202001050800,3613.0,1037.0,1435.0,5048.0,72,21
104,344.0,1611.0,0.0,69.0,1879.0,488.0,24.0,48.0,,1086.0,202001050800,202001050900,3570.0,1134.0,1979.0,5549.0,64,20
105,350.0,1965.0,0.0,340.0,1959.0,703.0,25.0,178.0,,1022.0,202001050900,202001051000,4202.0,1200.0,2340.0,6542.0,64,18
106,346.0,2118.0,0.0,365.0,1975.0,770.0,25.0,297.0,,910.0,202001051000,202001051100,4317.0,1207.0,2489.0,6806.0,63,18
107,340.0,2126.0,0.0,110.0,1820.0,735.0,25.0,387.0,,819.0,202001051100,202001051200,3871.0,1206.0,2491.0,6362.0,61,19
108,343.0,2039.0,0.0,6.0,1716.0,696.0,25.0,466.0,,656.0,202001051200,202001051300,3540.0,1122.0,2407.0,5947.0,60,19
109,337.0,1940.0,0.0,0.0,1804.0,650.0,23.0,447.0,,461.0,202001051300,202001051400,3362.0,908.0,2300.0,5662.0,59,16
110,331.0,2012.0,0.0,0.0,1807.0,674.0,24.0,390.0,,336.0,202001051400,202001051500,3207.0,726.0,2367.0,5574.0,58,13
111,341.0,2057.0,0.0,11.0,2024.0,655.0,24.0,270.0,,259.0,202001051500,202001051600,3219.0,529.0,2422.0,5641.0,57,9
112,341.0,2272.0,0.0,512.0,2301.0,912.0,24.0,95.0,,220.0,202001051600,202001051700,4040.0,315.0,2637.0,6677.0,61,5
113,338.0,2375.0,0.0,1428.0,2360.0,1110.0,23.0,3.0,,151.0,202001051700,202001051800,5052.0,154.0,2736.0,7788.0,65,2
114,339.0,2380.0,0.0,1922.0,2320.0,1095.0,23.0,0.0,,122.0,202001051800,202001051900,5459.0,122.0,2742.0,8201.0,67,1
115,339.0,2394.0,0.0,2097.0,2349.0,1139.0,22.0,0.0,,105.0,202001051900,202001052000,5690.0,105.0,2755.0,8445.0,67,1
116,335.0,2489.0,0.0,2235.0,2454.0,1196.0,18.0,0.0,,77.0,202001052000,202001052100,5962.0,77.0,2842.0,8804.0,68,1
117,333.0,2415.0,0.0,1974.0,2291.0,1093.0,17.0,0.0,,94.0,202001052100,202001052200,5452.0,94.0,2765.0,8217.0,66,1
118,330.0,2016.0,0.0,1775.0,2215.0,867.0,23.0,0.0,,107.0,202001052200,202001052300,4964.0,107.0,2369.0,7333.0,68,1
